candidate,preference1,preference2,preference3,preference4
Munroe,9,88,36,18
Shepherd,78,31,90,99
Vonni,5,1,30,87
Steward,54,4,36,2
Hollie,73,8,63,14
Darby,41,55,65,20
Thorndike,69,16,34,27
Shawn,37,22,83,93
Tuck,43,70,35,57
Debora,49,39,45,62
Rockwell,40,54,68,28
Lennie,69,13,17,64
Fredrika,94,65,9,23
Kip,46,75,81,53
Mill,13,27,78,40
Natala,31,6,6,25
Nico,16,87,69,67
Ofelia,3,41,22,99
Moritz,30,92,53,24
Pat,35,29,14,38
Byrann,86,66,37,76
Joye,76,15,14,67
Lesly,73,88,88,16
Timmie,46,62,99,83
Giffer,89,53,12,73
Freddy,64,19,90,85
Rockwell,96,6,42,29
Siffre,78,80,36,27
Reena,14,47,37,66
Brandon,10,59,100,93
Idelle,100,22,46,41
Pattie,72,91,35,62
Aggi,61,86,39,88
Griffith,92,63,41,24
Emmy,40,94,80,60
Teddy,10,64,77,52
Tarra,24,42,67,33
Willi,12,47,11,49
Ginnie,8,35,57,47
Honoria,39,86,96,58
Damaris,13,89,68,93
Fredek,44,45,86,87
Deck,56,28,40,100
Marybeth,41,29,69,84
Debera,23,28,80,19
Rutter,73,78,31,39
Fairlie,4,89,11,16
Winna,31,68,20,54
Jobie,44,8,7,54
Carie,43,82,44,57
Maurine,2,77,92,11
Claire,57,97,21,31
Gayle,85,32,49,63
Sanford,66,52,50,44
Easter,10,51,42,16
Miner,85,40,27,33
Rudolfo,56,40,18,44
Nikolas,53,73,33,98
Gustie,27,49,32,35
Bess,7,36,40,22
Gardiner,25,20,16,28
Katuscha,42,79,26,98
Dode,65,46,38,20
Lockwood,53,70,52,66
Blinny,19,4,24,6
Jerrome,35,91,86,61
Josias,37,44,10,30
Baudoin,44,54,4,82
Mollie,69,25,18,64
Faunie,15,28,44,97
Margery,19,52,49,42
Ravi,60,3,1,23
Glenna,46,2,40,36
Nat,17,23,83,79
Mia,20,35,26,23
Carolina,70,15,81,15
Milzie,14,35,39,58
Whitney,72,78,57,39
Thomasin,24,93,11,13
Codie,38,9,88,36
Nefen,24,96,54,40
Shela,65,39,55,36
Glenda,96,54,33,56
Karilynn,7,49,27,73
Bunni,64,1,86,56
Lammond,64,54,99,87
Aguistin,50,29,17,74
Elicia,75,44,84,59
Jewel,67,74,44,91
Elihu,85,36,47,17
Silvana,18,90,59,68
Kylila,73,86,72,90
Clemmy,67,83,60,93
Sharl,97,44,19,17
Daveen,17,22,40,62
Harris,77,19,14,60
Pat,18,79,81,19
Lewie,98,7,97,80
Mabelle,23,93,95,9
Haslett,88,52,67,78
Angela,88,90,84,32
Alessandra,67,24,88,78
Stesha,76,59,15,96
Lars,85,33,26,94
Helli,27,100,18,88
Charlotta,81,2,49,51
Horst,4,31,17,44
Saunders,30,32,27,56
Olivero,50,86,7,45
Lorrin,7,4,47,38
Shellysheldon,27,19,91,56
Alex,60,35,2,79
Corey,17,30,81,31
Melina,50,24,33,97
Berny,73,10,17,52
Worth,1,62,44,88
Gauthier,85,10,36,49
Benyamin,32,31,29,16
Angie,8,57,13,65
Markos,88,3,42,9
Antonin,81,51,45,77
Devondra,67,72,49,30
Trstram,16,62,69,61
Nevin,99,5,5,50
Pammy,57,52,54,2
Cesya,50,52,10,85
Karel,4,65,5,43
Standford,20,50,64,3
Juliann,24,78,2,98
Bary,43,63,88,7
Cherilynn,75,95,73,28
Beret,67,67,94,88
Stanly,79,39,11,100
Drucie,3,51,26,60
Deana,74,3,33,55
Theobald,24,69,75,94
Amery,13,90,87,44
Ambur,46,41,18,74
Emmalynn,34,37,28,68
Georgy,71,55,24,83
Olivia,35,16,51,42
Tomkin,92,25,57,69
Waring,82,41,52,65
Wilie,39,42,87,73
Joyce,35,91,48,63
Hiram,77,15,32,79
Bailey,10,87,84,39
Minor,12,20,73,3
Bibbie,59,34,37,4
Jordain,77,33,94,13
Lilian,64,19,6,69
Millicent,58,97,30,20
Kelly,75,64,67,26
Lexine,49,73,22,91
Nicki,41,2,39,65
Benyamin,12,26,33,89
Merrili,92,74,67,54
Neale,22,59,52,67
Matty,37,75,19,39
Tera,78,11,40,86
Trevor,98,20,84,37
